Nacional;Comunidades y Ciudades Aut�nomas;Sexo;Periodo;Total
Total;;Total;2021;47.385.107
Total;;Total;2020;47.450.795
Total;;Total;2019;47.026.208
Total;;Total;2018;46.722.980
Total;;Total;2017;46.572.132
Total;;Total;2016;46.557.008
Total;;Total;2015;46.624.382
Total;;Total;2014;46.771.341
Total;;Total;2013;47.129.783
Total;;Total;2012;47.265.321
Total;;Total;2011;47.190.493
Total;;Total;2010;47.021.031
Total;;Total;2009;46.745.807
Total;;Total;2008;46.157.822
Total;;Total;2007;45.200.737
Total;;Total;2006;44.708.964
Total;;Total;2005;44.108.530
Total;;Total;2004;43.197.684
Total;;Total;2003;42.717.064
Total;;Total;2002;41.837.894
Total;;Total;2001;41.116.842
Total;;Total;2000;40.499.791
Total;;Total;1999;40.202.160
Total;;Total;1998;39.852.651
Total;ANDALUCIA;Total;2021;8.472.407
Total;ANDALUCIA;Total;2020;8.464.411
Total;ANDALUCIA;Total;2019;8.414.240
Total;ANDALUCIA;Total;2018;8.384.408
Total;ANDALUCIA;Total;2017;8.379.820
Total;ANDALUCIA;Total;2016;8.388.107
Total;ANDALUCIA;Total;2015;8.399.043
Total;ANDALUCIA;Total;2014;8.402.305
Total;ANDALUCIA;Total;2013;8.440.300
Total;ANDALUCIA;Total;2012;8.449.985
Total;ANDALUCIA;Total;2011;8.424.102
Total;ANDALUCIA;Total;2010;8.370.975
Total;ANDALUCIA;Total;2009;8.302.923
Total;ANDALUCIA;Total;2008;8.202.220
Total;ANDALUCIA;Total;2007;8.059.461
Total;ANDALUCIA;Total;2006;7.975.672
Total;ANDALUCIA;Total;2005;7.849.799
Total;ANDALUCIA;Total;2004;7.687.518
Total;ANDALUCIA;Total;2003;7.606.848
Total;ANDALUCIA;Total;2002;7.478.432
Total;ANDALUCIA;Total;2001;7.403.968
Total;ANDALUCIA;Total;2000;7.340.052
Total;ANDALUCIA;Total;1999;7.305.117
Total;ANDALUCIA;Total;1998;7.236.459
Total;ARAGON;Total;2021;1.326.261
Total;ARAGON;Total;2020;1.329.391
Total;ARAGON;Total;2019;1.319.291
Total;ARAGON;Total;2018;1.308.728
Total;ARAGON;Total;2017;1.308.750
Total;ARAGON;Total;2016;1.308.563
Total;ARAGON;Total;2015;1.317.847
Total;ARAGON;Total;2014;1.325.385
Total;ARAGON;Total;2013;1.347.150
Total;ARAGON;Total;2012;1.349.467
Total;ARAGON;Total;2011;1.346.293
Total;ARAGON;Total;2010;1.347.095
Total;ARAGON;Total;2009;1.345.473
Total;ARAGON;Total;2008;1.326.918
Total;ARAGON;Total;2007;1.296.655
Total;ARAGON;Total;2006;1.277.471
Total;ARAGON;Total;2005;1.269.027
Total;ARAGON;Total;2004;1.249.584
Total;ARAGON;Total;2003;1.230.090
Total;ARAGON;Total;2002;1.217.514
Total;ARAGON;Total;2001;1.199.753
Total;ARAGON;Total;2000;1.189.909
Total;ARAGON;Total;1999;1.186.849
Total;ARAGON;Total;1998;1.183.234
Total;ASTURIAS;Total;2021;1.011.792
Total;ASTURIAS;Total;2020;1.018.784
Total;ASTURIAS;Total;2019;1.022.800
Total;ASTURIAS;Total;2018;1.028.244
Total;ASTURIAS;Total;2017;1.034.960
Total;ASTURIAS;Total;2016;1.042.608
Total;ASTURIAS;Total;2015;1.051.229
Total;ASTURIAS;Total;2014;1.061.756
Total;ASTURIAS;Total;2013;1.068.165
Total;ASTURIAS;Total;2012;1.077.360
Total;ASTURIAS;Total;2011;1.081.487
Total;ASTURIAS;Total;2010;1.084.341
Total;ASTURIAS;Total;2009;1.085.289
Total;ASTURIAS;Total;2008;1.080.138
Total;ASTURIAS;Total;2007;1.074.862
Total;ASTURIAS;Total;2006;1.076.896
Total;ASTURIAS;Total;2005;1.076.635
Total;ASTURIAS;Total;2004;1.073.761
Total;ASTURIAS;Total;2003;1.075.381
Total;ASTURIAS;Total;2002;1.073.971
Total;ASTURIAS;Total;2001;1.075.329
Total;ASTURIAS;Total;2000;1.076.567
Total;ASTURIAS;Total;1999;1.084.314
Total;ASTURIAS;Total;1998;1.081.834
Total;BALEARES;Total;2021;1.173.008
Total;BALEARES;Total;2020;1.171.543
Total;BALEARES;Total;2019;1.149.460
Total;BALEARES;Total;2018;1.128.908
Total;BALEARES;Total;2017;1.115.999
Total;BALEARES;Total;2016;1.107.220
Total;BALEARES;Total;2015;1.104.479
Total;BALEARES;Total;2014;1.103.442
Total;BALEARES;Total;2013;1.111.674
Total;BALEARES;Total;2012;1.119.439
Total;BALEARES;Total;2011;1.113.114
Total;BALEARES;Total;2010;1.106.049
Total;BALEARES;Total;2009;1.095.426
Total;BALEARES;Total;2008;1.072.844
Total;BALEARES;Total;2007;1.030.650
Total;BALEARES;Total;2006;1.001.062
Total;BALEARES;Total;2005;983.131
Total;BALEARES;Total;2004;955.045
Total;BALEARES;Total;2003;947.361
Total;BALEARES;Total;2002;916.968
Total;BALEARES;Total;2001;878.627
Total;BALEARES;Total;2000;845.630
Total;BALEARES;Total;1999;821.820
Total;BALEARES;Total;1998;796.483
Total;CANARIAS;Total;2021;2.172.944
Total;CANARIAS;Total;2020;2.175.952
Total;CANARIAS;Total;2019;2.153.389
Total;CANARIAS;Total;2018;2.127.685
Total;CANARIAS;Total;2017;2.108.121
Total;CANARIAS;Total;2016;2.101.924
Total;CANARIAS;Total;2015;2.100.306
Total;CANARIAS;Total;2014;2.104.815
Total;CANARIAS;Total;2013;2.118.679
Total;CANARIAS;Total;2012;2.118.344
