"Row","FIPS","GENC","Country/Area Name","Year","Area in Square Kilometers","Population","Annual Growth Rate %","Rate of Natural Increase","Population Density (People per Sq. Km.)","Crude Birth Rate","Crude Death Rate","Net Migration Rate"
"1","AL","AL","Albania","2000","27398","3158351","-1.019","1.104","115.3","16.43","5.39","-21.22"
"2","AL","AL","Albania","2001","27398","3128001","-0.912","1.231","114.2","17.57","5.26","-21.43"
"3","AL","AL","Albania","2002","27398","3098028","-1.014","0.944","113.1","14.84","5.4","-19.59"
"4","AL","AL","Albania","2003","27398","3069664","-0.824","0.947","112","15.45","5.98","-17.71"
"5","AL","AL","Albania","2004","27398","3045640","-0.747","0.83","111.2","14.24","5.94","-15.77"
"6","AL","AL","Albania","2005","27398","3024532","-0.644","0.734","110.4","13.2","5.86","-13.78"
"7","AL","AL","Albania","2006","27398","3005777","-0.6","0.575","109.7","11.47","5.72","-11.76"
"8","AL","AL","Albania","2007","27398","2991573","-0.347","0.623","109.2","11.16","4.93","-9.7"
"9","AL","AL","Albania","2008","27398","2984372","-0.135","0.625","108.9","11.37","5.12","-7.6"
"10","AL","AL","Albania","2009","27398","2983560","0.081","0.629","108.9","11.6","5.31","-5.48"
"11","AL","AL","Albania","2010","27398","2989272","0.302","0.637","109.1","11.87","5.5","-3.35"
"12","AL","AL","Albania","2011","27398","2998428","0.31","0.643","109.4","12.12","5.69","-3.34"
"13","AL","AL","Albania","2012","27398","3007803","0.314","0.647","109.8","12.34","5.87","-3.32"
"14","AL","AL","Albania","2013","27398","3017282","0.315","0.647","110.1","12.52","6.05","-3.31"
"15","AL","AL","Albania","2014","27398","3026779","0.314","0.644","110.5","12.67","6.23","-3.3"
"16","AL","AL","Albania","2015","27398","3036304","0.315","0.644","110.8","12.85","6.41","-3.29"
"17","AL","AL","Albania","2016","27398","3045854","0.313","0.641","111.2","12.99","6.58","-3.28"
"18","AL","AL","Albania","2017","27398","3055278","0.305","0.632","111.5","13.07","6.75","-3.27"
"19","AL","AL","Albania","2018","27398","3064357","0.289","0.615","111.8","13.06","6.91","-3.26"
"20","AL","AL","Albania","2019","27398","3072944","0.271","0.596","112.2","13.03","7.07","-3.25"
"21","AL","AL","Albania","2020","27398","3080930","0.248","0.573","112.5","12.96","7.23","-3.25"
"22","AL","AL","Albania","2021","27398","3088385","0.235","0.559","112.7","12.86","7.27","-3.24"
"23","AL","AL","Albania","2022","27398","3095344","0.215","0.538","113","12.69","7.31","-3.23"
"24","AN","AD","Andorra","2000","468","65099","-0.123","0.611","139.1","11.47","5.36","-7.34"
"25","AN","AD","Andorra","2001","468","65316","0.787","0.683","139.6","11.9","5.07","1.04"
"26","AN","AD","Andorra","2002","468","65986","1.252","0.627","141","11.35","5.08","6.24"
"27","AN","AD","Andorra","2003","468","68782","6.929","0.554","147","10.48","4.94","63.75"
"28","AN","AD","Andorra","2004","468","73247","5.684","0.521","156.5","11.11","5.9","51.62"
"29","AN","AD","Andorra","2005","468","76122","2.086","0.53","162.7","10.88","5.58","15.57"
